,sentence,intents,clean_sentence
755,list all events and delete,calendar_remove,list events delete
756,delete all details in event,calendar_remove,delete details event
757,take out event from calendar,calendar_remove,take event calendar
758,delete my calendar,calendar_remove,delete calendar
759,change the plan of meeting,calendar_remove,change plan meeting
760,delete all appointments for tomorrow,calendar_remove,delete appointments tomorrow
761,erase my appointment for march seven,calendar_remove,erase appointment march seven
762,remove birthday party,calendar_remove,remove birthday party
763,find my next event and delete it please,calendar_remove,find next event delete please
764,cancel my birthday party,calendar_remove,cancel birthday party
765,please delete all my calendar events,calendar_remove,please delete calendar events
766,clear off the vet appointment tomorrow,calendar_remove,clear vet appointment tomorrow
767,delete an first event of twenty third of march twenty seventeen,calendar_remove,delete first event twenty third march twenty seventeen
768,delete my dinner tomorrow,calendar_remove,delete dinner tomorrow
769,clean my entire calendar,calendar_remove,clean entire calendar
770,erase all events,calendar_remove,erase events
771,please delete all calendar events,calendar_remove,please delete calendar events
772,erase my whole calendar,calendar_remove,erase whole calendar
773,remove john's birthday from the calendar,calendar_remove,remove john's birthday calendar
774,clear up my calendar,calendar_remove,clear calendar
775,clear everything off my calendar for the rest of the year,calendar_remove,clear everything calendar rest year
776,can you take out dentist appointment from my calendar,calendar_remove,take dentist appointment calendar
777,please remove this event from my calendar,calendar_remove,please remove event calendar
778,can you delete the not so important events,calendar_remove,delete important events
779,erase my next event,calendar_remove,erase next event
780,clear my calendar for saturday,calendar_remove,clear calendar saturday
781,is there a way to clear my calendar,calendar_remove,way clear calendar
782,cancel all my appointments after three pm today and inform me the details,calendar_remove,cancel appointments three pm today inform details
783,erase events,calendar_remove,erase events
784,what do i have to do today,calendar_remove,today
785,get rid of the first three events in my calendar,calendar_remove,get rid first three events calendar
786,please delete the meeting i have with john tonight,calendar_remove,please delete meeting john tonight
787,rm rf calendar,calendar_remove,rm rf calendar
788,delete everything on my calendar for the next two weeks,calendar_remove,delete everything calendar next two weeks
789,please remove the doctor appointment in my calendar for february twelfth at nine am,calendar_remove,please remove doctor appointment calendar february twelfth nine
790,delete my meeting for tomorrow,calendar_remove,delete meeting tomorrow
791,remove father's day from calendar,calendar_remove,remove father's day calendar
792,please cancel my next hair cut,calendar_remove,please cancel next hair cut
793,please empty my calendar,calendar_remove,please empty calendar
794,remove events from calendar,calendar_remove,remove events calendar
795,delete all meetings for tomorrow,calendar_remove,delete meetings tomorrow
796,erase my appointment with ted,calendar_remove,erase appointment ted
797,please delete all meeting after seven am,calendar_remove,please delete meeting seven
798,cancel future event from place i worked,calendar_remove,cancel future event place worked
799,please clean my calendar,calendar_remove,please clean calendar
800,i am busy tomorrow so delete all calendar events,calendar_remove,busy tomorrow delete calendar events
801,delete from the calendar the next event,calendar_remove,delete calendar next event
802,delete all scheduled events,calendar_remove,delete scheduled events
803,format data from calendar,calendar_remove,format data calendar
804,find dinner with mom on my calendar and delete it,calendar_remove,find dinner mom calendar delete
805,remove my event at one pm in my calendar,calendar_remove,remove event one pm calendar
806,please clear my calendar,calendar_remove,please clear calendar
807,do remove next event from the calendar,calendar_remove,remove next event calendar
808,delete all events and content from my calendar,calendar_remove,delete events content calendar
809,no lunch date tomorrow,calendar_remove,lunch date tomorrow
810,delete my next meeting,calendar_remove,delete next meeting
811,delete the monthly recurring team meeting till june,calendar_remove,delete monthly recurring team meeting till june
812,i will no longer be joining mom for lunch tomorrow,calendar_remove,longer joining mom lunch tomorrow
813,destroy all events,calendar_remove,destroy events
814,clear my next event,calendar_remove,clear next event
815,check the events on calendar and delete the next event,calendar_remove,check events calendar delete next event
816,clear all data from calendar,calendar_remove,clear data calendar
817,cancels lunch at the restaurant booked for march twenty five,calendar_remove,cancels lunch restaurant booked march twenty five
818,cancel dentist appointment for this week,calendar_remove,cancel dentist appointment week
819,change my plan erase my next event,calendar_remove,change plan erase next event
820,cancel the plan of party,calendar_remove,cancel plan party
821,reset all events in calendar,calendar_remove,reset events calendar
822,erase all content in my calendar,calendar_remove,erase content calendar
823,this event needs to be deleted,calendar_remove,event needs deleted
824,erase my appointment on the twelfth from my calendar,calendar_remove,erase appointment twelfth calendar
825,remove twenty fourth march meeting from schedule,calendar_remove,remove twenty fourth march meeting schedule
826,i want all my events deleted,calendar_remove,want events deleted
827,can you empty my calendar,calendar_remove,empty calendar
828,delete all of my appointments with dr smith this week,calendar_remove,delete appointments dr smith week
829,please remove dinner date scheduled for this friday at nine pm,calendar_remove,please remove dinner date scheduled friday nine pm
830,delete my appointment tomorrow,calendar_remove,delete appointment tomorrow
831,remove dinner with mike from my calendar,calendar_remove,remove dinner mike calendar
832,delete my dr k appointment in march,calendar_remove,delete dr k appointment march
833,please erase the next birthday event,calendar_remove,please erase next birthday event
834,make my calendar empty,calendar_remove,make calendar empty
835,cancel sam's party,calendar_remove,cancel sam's party
836,please delete this event,calendar_remove,please delete event
837,delete all events in calendar,calendar_remove,delete events calendar
838,i am no longer attending the wedding on the tenth so remove it from my calendar,calendar_remove,longer attending wedding tenth remove calendar
839,delete every event,calendar_remove,delete every event
840,delete the scheduled meeting on fourth october twelve pm,calendar_remove,delete scheduled meeting fourth october twelve pm
841,open calendar and erase all events for all months,calendar_remove,open calendar erase events months
842,write down that i am going to meet with jenny on the third okay,calendar_set,write going meet jenny third okay
843,on third april we will go to watch j llb movie set it,calendar_set,third april go watch j llb movie set
844,schedule a meeting with al on tuesday,calendar_set,schedule meeting al tuesday
845,remind me the upcoming meeting at four am today,calendar_set,remind upcoming meeting four today
846,reminder about meeting from eight am to twelve pm,calendar_set,reminder meeting eight twelve pm
847,new reminder at three pm,calendar_set,new reminder three pm
848,set rotating event,calendar_set,set rotating event
849,i have a meeting at noon today,calendar_set,meeting noon today
850,schedule lunch at tomo in arcata california tomorrow at noon,calendar_set,schedule lunch tomo arcata california tomorrow noon
851,add event to calendar,calendar_set,add event calendar
852,set a reminder for two days prior of the event,calendar_set,set reminder two days prior event
853,remind me everyday at two pm for lunch,calendar_set,remind everyday two pm lunch
854,remind me to eat when i get home,calendar_set,remind eat get home
855,i need to set up a meeting with the ceo tomorrow,calendar_set,need set meeting ceo tomorrow
856,create a meeting event in my calendar,calendar_set,create meeting event calendar
857,make appointment for next friday,calendar_set,make appointment next friday
858,latest reminder about meeting,calendar_set,latest reminder meeting
859,set a reminder for my shopping trip tomorrow at five pm,calendar_set,set reminder shopping trip tomorrow five pm
860,remind me every year on this date of,calendar_set,remind every year date
861,set reminder notification for three o'clock,calendar_set,set reminder notification three o'clock
862,reminders,calendar_set,reminders
863,notify me an hour before my two pm appointment at the car dealership,calendar_set,notify hour two pm appointment car dealership
864,i need you to mark next monday,calendar_set,need mark next monday
865,let me know when my meetings are on monday,calendar_set,let know meetings monday
866,set a reminder for john's birthday next week,calendar_set,set reminder john's birthday next week
867,every wednesday night at five pm remind me to meet phil,calendar_set,every wednesday night five pm remind meet phil
868,set a meeting with hongbin,calendar_set,set meeting hongbin
869,invite people to the calendar event,calendar_set,invite people calendar event
870,remind me tomorrow at four about an event,calendar_set,remind tomorrow four event
871,add practice to calendar on feb four at king's park at two pm,calendar_set,add practice calendar feb four king's park two pm
872,set a two day notification before maria's birthday please,calendar_set,set two day notification maria's birthday please
873,let me know of the meeting on tuesday,calendar_set,let know meeting tuesday
874,meeting update my calendar to reflect meeting,calendar_set,meeting update calendar reflect meeting
875,remind me at the start of each month,calendar_set,remind start month
876,add my car payment on the twelfth in my calendar,calendar_set,add car payment twelfth calendar
877,give me an update on the election in one hour,calendar_set,give update election one hour
878,on february fourteenth make dinner reservations at the restaurant,calendar_set,february fourteenth make dinner reservations restaurant
879,repeating event meeting on mondays,calendar_set,repeating event meeting mondays
880,please set reminder,calendar_set,please set reminder
881,remind me if i miss my evening walk routine,calendar_set,remind miss evening walk routine
882,please remind me about the event later five pm,calendar_set,please remind event later five pm
883,schedule a reminder on fifteenth march and input name as meeting,calendar_set,schedule reminder fifteenth march input name meeting
884,tell me when my next doctors appointment is,calendar_set,tell next doctors appointment
885,meeting this friday,calendar_set,meeting friday
886,set a reminder on fifteenth march as meeting,calendar_set,set reminder fifteenth march meeting
887,set generic calendar event for next saturday at ten am,calendar_set,set generic calendar event next saturday ten
888,add a reminder to april fourth to go to the dentist,calendar_set,add reminder april fourth go dentist
889,remind me to move so there is no weight gain,calendar_set,remind move weight gain
890,set a reminder for twelve thirty meeting with the boss,calendar_set,set reminder twelve thirty meeting boss
891,remind me of my appointment on the fifteenth,calendar_set,remind appointment fifteenth
892,remind me to pay the electricity bill on this weekend at nine am,calendar_set,remind pay electricity bill weekend nine
893,schedule a meeting with reeta today evening at five pm,calendar_set,schedule meeting reeta today evening five pm
894,open calendar schedule event meeting,calendar_set,open calendar schedule event meeting
895,can you remind me of sunday gym every saturday evening,calendar_set,remind sunday gym every saturday evening
896,remind me about tomorrow meeting at ten am,calendar_set,remind tomorrow meeting ten
897,hi please remind the next meeting with my boss it will be at eleven am next monday,calendar_set,hi please remind next meeting boss eleven next monday
898,please remind me for the function at miami tomorrow,calendar_set,please remind function miami tomorrow
899,put a seven pm meeting time down for march fourteenth,calendar_set,put seven pm meeting time march fourteenth
900,remember dinner on thursday at bistro italia,calendar_set,remember dinner thursday bistro italia
901,remind me after a month,calendar_set,remind month
902,in the following week repeat this event at ten am every day,calendar_set,following week repeat event ten every day
903,can you notify the event in my calendar,calendar_set,notify event calendar
904,add event baseball practice five pm tonight,calendar_set,add event baseball practice five pm tonight
905,remind me of my twelve oclock meeting by eleven thirty,calendar_set,remind twelve oclock meeting eleven thirty
906,calendar event send invite bill malinda,calendar_set,calendar event send invite bill malinda
907,add dentist appointment for friday at five,calendar_set,add dentist appointment friday five
908,my calendar is to be updated with all rccg event in march,calendar_set,calendar updated rccg event march
909,please remind to sleep at nine pm,calendar_set,please remind sleep nine pm
910,church with mom and dad on sunday,calendar_set,church mom dad sunday
911,can you sync my calendar with mark,calendar_set,sync calendar mark
912,hey turn on your reminders for tomorrow's meeting at ten am,calendar_set,hey turn reminders tomorrow's meeting ten
913,add a reminder to my calendar every year on this date,calendar_set,add reminder calendar every year date
914,remind me to water my plants every tuesday thursday and saturday,calendar_set,remind water plants every tuesday thursday saturday
915,on twenty third february rahul will come with me on india cricket match,calendar_set,twenty third february rahul come india cricket match
916,i have to go to a meting on friday at noon can you remind me,calendar_set,go meting friday noon remind
917,set the event to recur on the first monday of the month,calendar_set,set event recur first monday month
918,alert me at the time of the event,calendar_set,alert time event
919,please add the meeting with ms boland on wednesday eight hundred am to my calendar,calendar_set,please add meeting ms boland wednesday eight hundred calendar
920,set a neighbor party for next week,calendar_set,set neighbor party next week
921,please add dinner with mary to my calendar on saturday,calendar_set,please add dinner mary calendar saturday
922,don't let me forget tomorrow's meeting with sheila,calendar_set,let forget tomorrow's meeting sheila
923,please set a monthly reminder for paying rent,calendar_set,please set monthly reminder paying rent
924,add lunch appointment with lisa to january second at twelve thirty pm,calendar_set,add lunch appointment lisa january second twelve thirty pm
925,make a calendar entry for next saturday at ten am please,calendar_set,make calendar entry next saturday ten please
926,remind me to pick up john from the airport tonight at eight,calendar_set,remind pick john airport tonight eight
927,remind me about calendar,calendar_set,remind calendar
928,add to calendar an medical appointment for the first day of the next five months,calendar_set,add calendar medical appointment first day next five months
929,remind me about my biology test at fsu on friday,calendar_set,remind biology test fsu friday
930,add meet with dave at subway on weber on four april at five pm,calendar_set,add meet dave subway weber four april five pm
931,set a reminder for fifteen minutes to change laundry loads,calendar_set,set reminder fifteen minutes change laundry loads
932,can you remind me about the gym class in two hours,calendar_set,remind gym class two hours
933,set a meeting with tom tomorrow at seven pm,calendar_set,set meeting tom tomorrow seven pm
934,can you set a reminder for wednesday at one pm for my meeting,calendar_set,set reminder wednesday one pm meeting
935,remind me to meet joe for lunch tomorrow,calendar_set,remind meet joe lunch tomorrow
936,write down meeting at seven pm,calendar_set,write meeting seven pm
937,twelveth july is bola's birthday and my calendar to be updated with this date,calendar_set,twelveth july bola's birthday calendar updated date
938,set reminder for tennis game with peter on Sunday at four pm,calendar_set,set reminder tennis game peter Sunday four pm
939,please block off friday at eight am on my calendar,calendar_set,please block friday eight calendar
940,all rccg march event is to be added to my calendar,calendar_set,rccg march event added calendar
941,add valia's wedding the next saturday at eight o clock,calendar_set,add valia's wedding next saturday eight clock
942,i have a meeting tomorrow morning at ten please remind me,calendar_set,meeting tomorrow morning ten please remind
943,i need you to remind me to go to store tomorrow,calendar_set,need remind go store tomorrow
944,remind me of this meeting soon,calendar_set,remind meeting soon
945,dentist appointment today at nine am,calendar_set,dentist appointment today nine
946,create a repeating event on mondays at seven pm,calendar_set,create repeating event mondays seven pm
947,remind me of meeting five minutes before time,calendar_set,remind meeting five minutes time
948,remind me to meet with steve at one pm tomorrow,calendar_set,remind meet steve one pm tomorrow
949,add new year with family next week,calendar_set,add new year family next week
950,schedule a lunch meeting with brent on Wednesday at noon,calendar_set,schedule lunch meeting brent Wednesday noon
951,call me for this meeting,calendar_set,call meeting
952,schedule dinner with sara and jamie,calendar_set,schedule dinner sara jamie
953,remind me later,calendar_set,remind later
954,just set me reminders about pending payment of children school fees,calendar_set,set reminders pending payment children school fees
955,add a reminder for april twenty as my bro's birthday,calendar_set,add reminder april twenty bro's birthday
956,remind me about my monday meeting with peter francis fifteen minutes before the meeting,calendar_set,remind monday meeting peter francis fifteen minutes meeting
957,show me the events in my work calendar for next week,calendar_set,show events work calendar next week
958,the meeting with justin and katrina has been changed put it on thursday,calendar_set,meeting justin katrina changed put thursday
959,open calendar and make an event reminder,calendar_set,open calendar make event reminder
960,remind me off about my tomorrow meeting sharply at ten,calendar_set,remind tomorrow meeting sharply ten
961,please add shopping at mall on twenty six march at twelve pm,calendar_set,please add shopping mall twenty six march twelve pm
962,repeat birthday,calendar_set,repeat birthday
963,put working out on my calendar for eight am every day this week,calendar_set,put working calendar eight every day week
964,add event to date,calendar_set,add event date
965,schedule meeting with laura,calendar_set,schedule meeting laura
966,remind me on fifth march of every year to arrange wedding anniversary presents,calendar_set,remind fifth march every year arrange wedding anniversary presents
967,can you tell me on tuesday to give jane a call,calendar_set,tell tuesday give jane call
968,make a meeting with friend,calendar_set,make meeting friend
969,tell me when i need to leave the airport,calendar_set,tell need leave airport
970,set meeting with the ceo tomorrow,calendar_set,set meeting ceo tomorrow
971,set a calendar event to repeat yearly on this date,calendar_set,set calendar event repeat yearly date
972,please set a reminder for church services on sundays for eleven am,calendar_set,please set reminder church services sundays eleven
973,flag two day after this day as my holiday,calendar_set,flag two day day holiday
974,set meeting with joanna on Saturday four pm,calendar_set,set meeting joanna Saturday four pm
975,don't let me forget i have a parent teacher conference this monday at four hundred pm,calendar_set,let forget parent teacher conference monday four hundred pm
976,alter lunch event to repeat every friday,calendar_set,alter lunch event repeat every friday
977,add event book club debbie's house wednesday night,calendar_set,add event book club debbie's house wednesday night
978,set a reminder alert for saturday nine am towards payment of electricity bill,calendar_set,set reminder alert saturday nine towards payment electricity bill
979,please remind me of all the nba scores in a week,calendar_set,please remind nba scores week
980,remind me to take out the trash,calendar_set,remind take trash
981,set on second january about soccer match of manchester,calendar_set,set second january soccer match manchester
982,remind me clock that i have a event,calendar_set,remind clock event
983,can you remind my next meeting with my boss one hour before it will happen,calendar_set,remind next meeting boss one hour happen
984,set a notification for june fifth every year,calendar_set,set notification june fifth every year
985,plan a meeting in office with all employees tomorrow morning at eight,calendar_set,plan meeting office employees tomorrow morning eight
986,set a thanks giving event for friday,calendar_set,set thanks giving event friday
987,remind me about my anniversary in one day advance,calendar_set,remind anniversary one day advance
988,on every tuesday remind me to go shopping,calendar_set,every tuesday remind go shopping
989,set event on recurring,calendar_set,set event recurring
990,schedule a sales meeting for wednesday at eleven am,calendar_set,schedule sales meeting wednesday eleven
991,please tell me to take my umbrella because it will be very hot today,calendar_set,please tell take umbrella hot today
992,remind me to go grocery shopping today,calendar_set,remind go grocery shopping today
993,set a notification on third march about company meeting,calendar_set,set notification third march company meeting
994,put my brother's birthday in my calendar for july fourth,calendar_set,put brother's birthday calendar july fourth
995,add jane's birthday party at one hundred and twenty three main for two pm tomorrow on my calendar,calendar_set,add jane's birthday party one hundred twenty three main two pm tomorrow calendar
996,schedule my meeting with my girlfriend lisa in the night today at nine pm,calendar_set,schedule meeting girlfriend lisa night today nine pm
997,march fifth is john's birthday please place this on the calendar,calendar_set,march fifth john's birthday please place calendar
998,take note of today as my first date with bob,calendar_set,take note today first date bob
999,remember to remind me about client meet at four pm,calendar_set,remember remind client meet four pm
1000,set reminder for tomorrow for this item,calendar_set,set reminder tomorrow item
1001,can you remind me to check my clothes in a hour,calendar_set,remind check clothes hour
1002,give me the list of all events coming up in the next month and set notifications for all of them,calendar_set,give list events coming next month set notifications
1003,thirteenth june is a day of election result please set it,calendar_set,thirteenth june day election result please set
1004,add my spin class to the calendar for Saturday at seven am,calendar_set,add spin class calendar Saturday seven
1005,please set this date to repeat,calendar_set,please set date repeat
1006,make a repeating reminder for tomorrow,calendar_set,make repeating reminder tomorrow
1007,thursday at three pm there is a teachers meeting i need to be reminded of,calendar_set,thursday three pm teachers meeting need reminded
1008,remind me to have launch with boss today at one pm,calendar_set,remind launch boss today one pm
1009,remind me to take the casserole out of the oven at seven hundred and forty five pm,calendar_set,remind take casserole oven seven hundred forty five pm
1010,please remind me that i have a meeting tomorrow ten in the morning,calendar_set,please remind meeting tomorrow ten morning
1011,add to calendar may two is mary's birthday repeat every year,calendar_set,add calendar may two mary's birthday repeat every year
1012,call sarah,calendar_set,call sarah
1013,send me notice of meeting wednesday nine am,calendar_set,send notice meeting wednesday nine
1014,the location is my office,calendar_set,location office
1015,on january twenty five set meeting for twelve,calendar_set,january twenty five set meeting twelve
1016,please put me your input to know my schedule,calendar_set,please put input know schedule
1017,what does one have to damage in cream to make butter,cooking_recipe,one damage cream make butter
1018,what can i cook with broccoli and chicken,cooking_recipe,cook broccoli chicken
1019,in five sentences let me know the procedure of making thanksgiving turkey,cooking_recipe,five sentences let know procedure making thanksgiving turkey
1020,what food is good,cooking_recipe,food good
1021,i would like instructions on how to cook baked chicken,cooking_recipe,would like instructions cook baked chicken
1022,tell me how to cook meatballs,cooking_recipe,tell cook meatballs
1023,give me some recipes for sheperds pie,cooking_recipe,give recipes sheperds pie
1024,is soft cheese better than hard,cooking_recipe,soft cheese better hard
1025,how do i cook meatballs,cooking_recipe,cook meatballs
1026,how do i prepare all my food for cooking,cooking_recipe,prepare food cooking
1027,whats needed to make pizza,cooking_recipe,whats needed make pizza
1028,get recipe for making a hotdog,cooking_recipe,get recipe making hotdog
1029,can I get the recipe for chocolate brownies,cooking_recipe,I get recipe chocolate brownies
1030,recipe for meal,cooking_recipe,recipe meal
1031,annie could you please search the internet and play the videos for cooking italian food,cooking_recipe,annie could please search internet play videos cooking italian food
1032,what's the recipe for fish soup,cooking_recipe,what's recipe fish soup
1033,i would like the recipe for baked chicken,cooking_recipe,would like recipe baked chicken
1034,recipe for crabmeat,cooking_recipe,recipe crabmeat
1035,cooking recipe,cooking_recipe,cooking recipe
1036,how to make sausage,cooking_recipe,make sausage
1037,find easy recipe for almond milk,cooking_recipe,find easy recipe almond milk
1038,what can i substitute butter with,cooking_recipe,substitute butter
1039,recipe please,cooking_recipe,recipe please
1040,are there any cooking classes nearby my area,cooking_recipe,cooking classes nearby area
1041,use google to show me how to cook,cooking_recipe,use google show cook
1042,how do i steam rice,cooking_recipe,steam rice
1043,give me recipes,cooking_recipe,give recipes
1044,boiled,cooking_recipe,boiled
1045,find me a recipe of spaghetti,cooking_recipe,find recipe spaghetti
1046,how do i cook rice,cooking_recipe,cook rice
1047,how do i make tuna casserole from scratch,cooking_recipe,make tuna casserole scratch
1048,show me how to cook a recipe,cooking_recipe,show cook recipe
1049,give me best cooking ideas,cooking_recipe,give best cooking ideas
1050,how long do i roast chicken breasts,cooking_recipe,long roast chicken breasts
1051,give me a recipe for lasagne,cooking_recipe,give recipe lasagne
1052,search for the best spagetti recipe,cooking_recipe,search best spagetti recipe
1053,i want to know the procedure of making thanksgiving turkey in five sentences,cooking_recipe,want know procedure making thanksgiving turkey five sentences
1054,tell me how to make garlic bread,cooking_recipe,tell make garlic bread
1055,how to make fried rice,cooking_recipe,make fried rice
1056,show me tutorials on cooking food,cooking_recipe,show tutorials cooking food
1057,find the recipe for sambar in cookingforu application,cooking_recipe,find recipe sambar cookingforu application
1058,what is the temperature i am supposed to cook this lasagna at,cooking_recipe,temperature supposed cook lasagna
1059,show me a spaghetti recipe,cooking_recipe,show spaghetti recipe
1060,how much is one serving of broccoli,cooking_recipe,much one serving broccoli
1061,what is a cookie recipe,cooking_recipe,cookie recipe
1062,do we add rosemary in pasta,cooking_recipe,add rosemary pasta
1063,how many cups of sugar in texas sheet cake frosting,cooking_recipe,many cups sugar texas sheet cake frosting
1064,show me cooking websites,cooking_recipe,show cooking websites
1065,tell me the best recipes for a given dish,cooking_recipe,tell best recipes given dish
1066,find a recipe that uses ground beef and zucchini,cooking_recipe,find recipe uses ground beef zucchini
1067,can you tell me how to cook chocolate chip cookies,cooking_recipe,tell cook chocolate chip cookies
1068,what's an easy recipe to cook for food,cooking_recipe,what's easy recipe cook food
1069,how long should i simmer rice for,cooking_recipe,long simmer rice
1070,what is the best tasting cut of beef,cooking_recipe,best tasting cut beef
1071,recipes,cooking_recipe,recipes
1072,access recipe book please,cooking_recipe,access recipe book please
1073,how do you make sunny side up eggs,cooking_recipe,make sunny side eggs
1074,how do i make cookies,cooking_recipe,make cookies
1075,tell me how to make tacos,cooking_recipe,tell make tacos
1076,what goes with risotto,cooking_recipe,goes risotto
1077,show me the recipe for cookies,cooking_recipe,show recipe cookies
1078,how do i cook a pasta,cooking_recipe,cook pasta
1079,what is an alternative to flour,cooking_recipe,alternative flour
1080,evaporated,cooking_recipe,evaporated
1081,cook me some oats,cooking_recipe,cook oats
1082,find me a recipe for chicken noodle soup,cooking_recipe,find recipe chicken noodle soup
1083,what do i need to make pot roast,cooking_recipe,need make pot roast
1084,how do i make meatloaf,cooking_recipe,make meatloaf
1085,please find the recipe for meatballs,cooking_recipe,please find recipe meatballs
1086,find me the recipe for a cake,cooking_recipe,find recipe cake
1087,i need help making pancakes,cooking_recipe,need help making pancakes
1088,how to cook spaghetti squash,cooking_recipe,cook spaghetti squash
1089,how much meat should i buy to serve ten people,cooking_recipe,much meat buy serve ten people
1090,what is recipe,cooking_recipe,recipe
1091,what are the ingredients necessary,cooking_recipe,ingredients necessary
1092,what do you use to make cookies,cooking_recipe,use make cookies
1093,show me how to cook lasagna,cooking_recipe,show cook lasagna
1094,how can we prepare biriyani,cooking_recipe,prepare biriyani
1095,how can a cook risotto,cooking_recipe,cook risotto
1096,how many millilitres is two table spoons,cooking_recipe,many millilitres two table spoons
1097,healthy foods,cooking_recipe,healthy foods
1098,i need the recipe for hot cross buns,cooking_recipe,need recipe hot cross buns
1099,what is the best recipe for tacos,cooking_recipe,best recipe tacos
1100,best energy food for gym,cooking_recipe,best energy food gym
1101,how to cook crabs,cooking_recipe,cook crabs
1102,what are the ingredients in macaroni and cheese,cooking_recipe,ingredients macaroni cheese
1103,find easy recipe for corn bread,cooking_recipe,find easy recipe corn bread
1104,what the sexiest food to cook on a date,cooking_recipe,sexiest food cook date
1105,crockpot recipe for chicken alfredo,cooking_recipe,crockpot recipe chicken alfredo
1106,how many teaspoons are in a cup,cooking_recipe,many teaspoons cup
1107,search for gluten free menus,cooking_recipe,search gluten free menus
1108,how many eggs should i put in my cake mixture,cooking_recipe,many eggs put cake mixture
1109,how do you zest a lime without a zester,cooking_recipe,zest lime without zester
1110,good food,cooking_recipe,good food
1111,please look up best recipes,cooking_recipe,please look best recipes
1112,find recipe chicken casserole,cooking_recipe,find recipe chicken casserole
1113,what type of cheese do i need for my enchiladas,cooking_recipe,type cheese need enchiladas
1114,recipes that can be cooked in an hour,cooking_recipe,recipes cooked hour
1115,what are the steps for biriyani meal,cooking_recipe,steps biriyani meal
1116,i want to know how to make a chicken in the oven,cooking_recipe,want know make chicken oven
1117,how can i cook pizza,cooking_recipe,cook pizza
1118,do you know how to cook risotto,cooking_recipe,know cook risotto
1119,find a recipe for homemade bread,cooking_recipe,find recipe homemade bread
1120,how do i deglaze a pan,cooking_recipe,deglaze pan
1121,what ingredient can be used to replace white wine,cooking_recipe,ingredient used replace white wine
1122,give me instructions on how to cook chicken,cooking_recipe,give instructions cook chicken
1123,how do you pan sear a porterhouse steak,cooking_recipe,pan sear porterhouse steak
1124,bring up a recipe for turkey meatballs,cooking_recipe,bring recipe turkey meatballs
1125,Show chicken tikka recipe,cooking_recipe,Show chicken tikka recipe
1126,how many calories are in a one divided by of peanuts,cooking_recipe,many calories one divided peanuts
1127,what is the difference between bake and broil,cooking_recipe,difference bake broil
1128,find the correct temperature for frying a whole turkey,cooking_recipe,find correct temperature frying whole turkey
1129,how do i cook a medium rare steak,cooking_recipe,cook medium rare steak
1130,i want to see the recipe of veg biryani,cooking_recipe,want see recipe veg biryani
1131,how do i bake a potato,cooking_recipe,bake potato
1132,show me a video on cooking fried chicken,cooking_recipe,show video cooking fried chicken
1133,find a recipe for chicken alfredo,cooking_recipe,find recipe chicken alfredo
1134,show the method to prepare icecream,cooking_recipe,show method prepare icecream
1135,quick meals,cooking_recipe,quick meals
1136,i need a recipe that is from ingredients on my shopping list,cooking_recipe,need recipe ingredients shopping list
1137,instructions to make a meal,cooking_recipe,instructions make meal
1138,how long should i cook a steak to be medium,cooking_recipe,long cook steak medium
1139,what is the recipe for apple pie,cooking_recipe,recipe apple pie
1140,how to cook this food,cooking_recipe,cook food
1141,get recipe for apple pie,cooking_recipe,get recipe apple pie
1142,let me know the recipe for preparing pasta,cooking_recipe,let know recipe preparing pasta
1143,i need a recipe for spaghetti,cooking_recipe,need recipe spaghetti
1144,what's the recipe for fried chicken,cooking_recipe,what's recipe fried chicken
1145,find the right amount of cinnamon for the garam masala,cooking_recipe,find right amount cinnamon garam masala
1146,freezing,cooking_recipe,freezing
1147,how do i make meal,cooking_recipe,make meal
1148,tell me the recipe to cook pav bhaji,cooking_recipe,tell recipe cook pav bhaji
1149,can you prepare a cheese sandwich,cooking_recipe,prepare cheese sandwich
1150,what temperature do you bake a potato,cooking_recipe,temperature bake potato
1151,what's the best way to cook pasta,cooking_recipe,what's best way cook pasta
1152,how to make chicken tikka,cooking_recipe,make chicken tikka
1153,what do i need to make lamb pathia,cooking_recipe,need make lamb pathia
1154,what is the cooking time for mashed potatoes,cooking_recipe,cooking time mashed potatoes
1155,show me what the ingredients are,cooking_recipe,show ingredients
1156,how to make cheesecake,cooking_recipe,make cheesecake
1157,i want to cook italian dishes show me some,cooking_recipe,want cook italian dishes show
1158,how do you make cookies,cooking_recipe,make cookies
1159,how long do i chill an icebo pie,cooking_recipe,long chill icebo pie
1160,tell me the recipe for yellow rice,cooking_recipe,tell recipe yellow rice
1161,show me the recipe of tandoori chicken,cooking_recipe,show recipe tandoori chicken
1162,what should i make for dinner,cooking_recipe,make dinner
1163,how do you make pasta,cooking_recipe,make pasta
1164,can you eat sweet potato greens raw,cooking_recipe,eat sweet potato greens raw
1165,please explain the rice recipe,cooking_recipe,please explain rice recipe
1166,how do i cook a meatloaf,cooking_recipe,cook meatloaf
1167,i want to cook pasta in american style show me how,cooking_recipe,want cook pasta american style show
1168,can you give me a recipe for homemade chicken noodle soup,cooking_recipe,give recipe homemade chicken noodle soup
1169,what temperature should the oil be for frying french fries,cooking_recipe,temperature oil frying french fries
1170,what conducts heat better copper bottomed pots or cast iron,cooking_recipe,conducts heat better copper bottomed pots cast iron
1171,how do i make mashed potatoes,cooking_recipe,make mashed potatoes
1172,tell me how to cook pasta,cooking_recipe,tell cook pasta
1173,what ingredients do i need for tomato soup,cooking_recipe,ingredients need tomato soup
