,sentence,intents
2218,send reply thank you so much mom to mom,email_sendemail
2219,send an email to mom subject weather body what is the weather like there this week,email_sendemail
2220,reply to john's email today saying i will be late,email_sendemail
2221,i want to email my supervisor,email_sendemail
2222,write email to family member and read it back,email_sendemail
2223,send an email to frank and ask them what the weather going to be like this week,email_sendemail
2224,please open a reply to the email,email_sendemail
2225,compose an email to parisa,email_sendemail
2226,open terry's email,email_sendemail
2227,email my meeting details to my manager,email_sendemail
2228,send a mail to alex asking about the due payment,email_sendemail
2229,send mom an email now,email_sendemail
2230,email tom,email_sendemail
2231,send email to mom asking about the weather,email_sendemail
2232,open a new email to contact,email_sendemail
2233,reply to the latest email,email_sendemail
2234,can you send an email to my mother about the weekly weather,email_sendemail
2235,compose this email to this new email address,email_sendemail
2236,send a confirmation email to sandy,email_sendemail
2237,reply to the mail with the following content hello you,email_sendemail
2238,send will do thanks to john as a reply to his last message,email_sendemail
2239,send email to mom and tell her see her at disney world,email_sendemail
2240,text sarah if she is free for brunch today,email_sendemail
2241,respond back to the mail,email_sendemail
2242,forward email,email_sendemail
2243,start and email to john smith,email_sendemail
2244,i need to send an email to michael,email_sendemail
2245,send answer to george,email_sendemail
2246,email mahmoud,email_sendemail
2247,"send email to robert, what time is dinner",email_sendemail
2248,send this email to reply to the latest emails,email_sendemail
2249,send an email to juanpedro@gmail dot com,email_sendemail
2250,mahaboobsayyad@gmail dot com,email_sendemail
2251,can you send an email for me to a new email address,email_sendemail
2252,send mail to bubbles i want to meet her tomorrow at two pm in office,email_sendemail
2253,send an email to with the subject as test and no content,email_sendemail
2254,please start an email for my sister,email_sendemail
2255,send email how are you dad to dad,email_sendemail
2256,please send email to pawel with reminder,email_sendemail
2257,send an email to jesse,email_sendemail
2258,reply back to this email,email_sendemail
2259,send email to marissa,email_sendemail
2260,email alice to let her know we are on the way,email_sendemail
2261,reply email to charlotte,email_sendemail
2262,open a reply message,email_sendemail
2263,reply to the email received from mark,email_sendemail
2264,send response i will be there,email_sendemail
2265,send a reply to robert for his email received today morning,email_sendemail
2266,send email to bill asking to reschedule,email_sendemail
2267,send message via email,email_sendemail
2268,send email to david davis email address,email_sendemail
2269,please send a voice mail to mr richard office about meting him on first of february twenty seventeen at five pm,email_sendemail
2270,inbox my family,email_sendemail
2271,prepare to send an outgoing reply message,email_sendemail
2272,send mail to mom i am planning vacations with her next week,email_sendemail
2273,send an email to my wife about next week weather,email_sendemail
2274,email co worker about work project,email_sendemail
2275,now i need to write an email to my colleague,email_sendemail
2276,reply to erins email by saying i will be on time,email_sendemail
2277,my friend john has sent me a invitation card to his newly bought home say thanks to him in his mail id,email_sendemail
2278,send email to nancy about tomorrow's work party details,email_sendemail
2279,write an email recipient ray,email_sendemail
2280,send an email to my family wishing them a happy holiday,email_sendemail
2281,forward the mail to new email address,email_sendemail
2282,hey i want to send an email to my friend,email_sendemail
2283,send an email to my brother and say wedding anniversary,email_sendemail
2284,tell sean i appreciate him reaching out to me,email_sendemail
2285,write this message to the coworker group,email_sendemail
2286,respond to graham and let him know that i will be free tomorrow,email_sendemail
2287,send an email to my boss and attach the presentation file with it apologize for being late,email_sendemail
2288,lindafancy55@gmail dot com,email_sendemail
2289,start email for address not in contacts,email_sendemail
2290,send an email to emma,email_sendemail
2291,answer the email,email_sendemail
2292,compose a mail for jack,email_sendemail
2293,i want the email to be sent to my new email address abc@gmail dot com,email_sendemail
2294,email my favourite contacts,email_sendemail
2295,i did not want you to send that text yet wait until i say send,email_sendemail
2296,send an email to my boss about my leave,email_sendemail
2297,i need to edit marie jones email address to read,email_sendemail
2298,send an email to peter and ask him how is he now can i do something to help him,email_sendemail
2299,please send an email to john saying i'm on leave,email_sendemail
2300,send an email with the address you gave me to jean saying meet us here at eight pm,email_sendemail
2301,compose a new email to ray,email_sendemail
2302,mail macs@xorg,email_sendemail
2303,send a birthday email to my boss,email_sendemail
2304,start email,email_sendemail
2305,email my boss that i will be late today because of an emergency and apologize to him for missing the meeting,email_sendemail
2306,send an email to rohit saying i am busy tomorrow,email_sendemail
2307,reply email,email_sendemail
2308,send an email to qerwerq@hotmail dot com,email_sendemail
2309,please sent this email to my friend,email_sendemail
2310,send email to bro and say hi come down for dinner tonight,email_sendemail
2311,send mom the following email,email_sendemail
2312,hey email jan about our meeting,email_sendemail
2313,will you send the email to greg,email_sendemail
2314,create an email to my brother asking him what time he will be over for dinner,email_sendemail
2315,reach by mail to my family,email_sendemail
2316,send an email to grandma saying we are dropping by on saturday see you then,email_sendemail
2317,pleas reply to the mail of allen,email_sendemail
2318,send an email to bob,email_sendemail
2319,send email new address,email_sendemail
2320,hey send email to john,email_sendemail
2321,please send a reminder email to peter and ask him how long he will be taking to prepare the presentation ppt,email_sendemail
2322,compose a new email but i got a new address this time brandon at example dot com,email_sendemail
2323,pull up outlook i need to send a email,email_sendemail
2324,respond to mom's mail message about the recipe site,email_sendemail
2325,schedule text messages for later,email_sendemail
2326,send an email to bill that i'm sorry i didn't realize he was so sick,email_sendemail
2327,send a request to martin,email_sendemail
2328,send a reply to mike with the answer four hundred and thirty from his email he sent this morning,email_sendemail
2329,write an email to luke asking how the weather will be this coming week,email_sendemail
2330,send an email to john that i am on my way to home,email_sendemail
2331,send email to gary,email_sendemail
2332,send happy new year to john@gmail dot com,email_sendemail
2333,email my mom,email_sendemail
2334,compose email,email_sendemail
2335,send email to family and tell them to bring the bug spray before coming to the park,email_sendemail
2336,respond to my bosses email with the word that i will be in at four in the evening,email_sendemail
2337,email mom and ask how the weather is there,email_sendemail
2338,answer email,email_sendemail
2339,send this message to the family group starts with a,email_sendemail
2340,please send mom an email saying that i can make it next week,email_sendemail
2341,send an email to adele,email_sendemail
2342,i need to add a new email to my contacts,email_sendemail
2343,send an email to my mum that i will visit her next weekend,email_sendemail
2344,email dad how is the weather this week,email_sendemail
2345,email my sister about mom's birthday jane we should think about arranging the party at the park,email_sendemail
2346,tell chris i will be late through email,email_sendemail
2347,send an email to george brown,email_sendemail
2348,please send the email to abc@gmail dot com instead of xyz@gmail dot com,email_sendemail
2349,please send an email to mom,email_sendemail
2350,email my mother,email_sendemail
2351,i'd like to send a reply,email_sendemail
2352,email chris add following content sorry I will be late today,email_sendemail
2353,send email to mommy that i'll be going the party,email_sendemail
2354,great response to command.,general_affirm
2355,yeap amazing response to the command.,general_affirm
2356,yes you've done your understanding correcly.,general_affirm
2357,yeap you have done answer exactly.,general_affirm
2358,you have understood my instructions perfectly.,general_affirm
2359,yeap excellent response to the command.,general_affirm
2360,yes you have gotten it exactly.,general_affirm
2361,you have done that perfectly.,general_affirm
2362,you've got the command exactly.,general_affirm
2363,you have got that exactly.,general_affirm
2364,yes you got command exactly.,general_affirm
2365,it was wonderful.,general_affirm
2366,fantastic response to command.,general_affirm
2367,you have done it correcly.,general_affirm
2368,correct response to the command.,general_affirm
2369,yes good response to command.,general_affirm
2370,yeah right.,general_affirm
2371,yes fantastic.,general_affirm
2372,your understanding was exact.,general_affirm
2373,yeap.,general_affirm
2374,yeap that's right.,general_affirm
2375,yes that is confirmed.,general_affirm
2376,yeap you've got your understanding right.,general_affirm
2377,yeah you have gotten my instructions perfectly.,general_affirm
2378,yeah fantastic response to the command.,general_affirm
2379,that is good.,general_affirm
2380,you have understood my instructions exactly.,general_affirm
2381,yeah it's good.,general_affirm
2382,strongly agreed.,general_affirm
2383,yes fantastic response.,general_affirm
2384,yes the command was confirmed.,general_affirm
2385,yes affirmative.,general_affirm
2386,got it correcly.,general_affirm
2387,yeap get that right.,general_affirm
2388,good response to the command.,general_affirm
2389,yeah you get it perfectly.,general_affirm
2390,amazing response to the command.,general_affirm
2391,yeap amazing response to command.,general_affirm
2392,right response to command.,general_affirm
2393,yeap correct response.,general_affirm
2394,yeah you got your understanding perfectly.,general_affirm
2395,got it exactly.,general_affirm
2396,yeap great response.,general_affirm
2397,yeap the command was exact.,general_affirm
2398,you've got your understanding correcly.,general_affirm
2399,exact response to the command.,general_affirm
2400,yeah that is perfect.,general_affirm
2401,yeap you get your understanding exactly.,general_affirm
2402,excellent.,general_affirm
2403,you've understood my instructions exactly.,general_affirm
2404,yeap you have gotten the command perfectly.,general_affirm
2405,yeah wonderful.,general_affirm
2406,yes exact.,general_affirm
2407,yes amazing response.,general_affirm
2408,yeah that's great.,general_affirm
2409,yeap perfect response to the command.,general_affirm
2410,yes strongly agree.,general_affirm
2411,yes your understanding was perfect.,general_affirm
2412,yes you've done command exactly.,general_affirm
2413,you've done the command correcly.,general_affirm
2414,yes answer was confirmed.,general_affirm
2415,the answer is confirmed.,general_affirm
2416,yes agree.,general_affirm
2417,answer is confirmed.,general_affirm
2418,yes that's correct.,general_affirm
2419,the command was confirmed.,general_affirm
2420,yes the command is confirmed.,general_affirm
2421,you've done the command right.,general_affirm
2422,get command exactly.,general_affirm
2423,you have got the answer exactly.,general_affirm
2424,yes answer was amazing.,general_affirm
2425,yeap you've gotten the command correcly.,general_affirm
2426,that is excellent.,general_affirm
2427,got the answer exactly.,general_affirm
2428,yeah get that correcly.,general_affirm
2429,yes correct response.,general_affirm
2430,correcly.,general_affirm
2431,yeap you get that perfectly.,general_affirm
2432,yeah correct response to the command.,general_affirm
2433,yes it's excellent.,general_affirm
2434,your understanding is confirmed.,general_affirm
2435,it's exact.,general_affirm
2436,yeah great response to command.,general_affirm
2437,yeap exact response to command.,general_affirm
2438,yeap fantastic.,general_affirm
2439,it's amazing.,general_affirm
2440,yeah you did it exactly.,general_affirm
2441,you've got the answer perfectly.,general_affirm
2442,you've gotten your understanding correcly.,general_affirm
2443,yes that's fantastic.,general_affirm
2444,yes you get your understanding perfectly.,general_affirm
2445,fantastic response to the command.,general_affirm
2446,it's perfect.,general_affirm
2447,yeap strongly agreed.,general_affirm
2448,yes exact response.,general_affirm
2449,yes that's amazing.,general_affirm
2450,yes great response to the command.,general_affirm
2451,yeap you've understood the answer right.,general_affirm
2452,you've done your understanding correcly.,general_affirm
2453,yeap it's good.,general_affirm
2454,exact.,general_affirm
2455,yeap you have got my instructions exactly.,general_affirm
2456,yes right response.,general_affirm
2457,you have done command exactly.,general_affirm
2458,command was confirmed.,general_affirm
2459,yeap you have got my instructions perfectly.,general_affirm
2460,that's confirmed.,general_affirm
2461,you've understood command perfectly.,general_affirm
2462,you understood command exactly.,general_affirm
2463,yeap correct response to the command.,general_affirm
2464,yeah it's confirmed.,general_affirm
2465,excellent response to the command.,general_affirm
2466,that is correct.,general_affirm
2467,yeah great response.,general_affirm
2468,good response to command.,general_affirm
2469,yeah that's confirmed.,general_affirm
2470,yeah exact response.,general_affirm
2471,you did it exactly.,general_affirm
2472,yes you have understood my instructions perfectly.,general_affirm
2473,yeah you did the command correcly.,general_affirm
2474,you have done your understanding correcly.,general_affirm
2475,yeap you have got my instructions correcly.,general_affirm
2476,yeap good.,general_affirm
2477,yeah please.,general_affirm
2478,yeap excellent response.,general_affirm
2479,yeap that was wonderful.,general_affirm
2480,yeah you've got my instructions right.,general_affirm
2481,yes perfectly.,general_affirm
2482,yeap good response.,general_affirm
2483,yeah you've got that perfectly.,general_affirm
2484,yeap you've done that right.,general_affirm
2485,yeah answer was correct.,general_affirm
2486,yeap you've got command correcly.,general_affirm
2487,yeap fantastic response to command.,general_affirm
2488,yes you've understood that right.,general_affirm
2489,yeah fantastic response to command.,general_affirm
2490,that is right.,general_affirm
2491,yeap you've understood my instructions perfectly.,general_affirm
2492,yeap fantastic response.,general_affirm
2493,yeap it's confirmed.,general_affirm
2494,yeah that was fantastic.,general_affirm
2495,you did command perfectly.,general_affirm
2496,you've gotten my instructions exactly.,general_affirm
2497,yes you have done that exactly.,general_affirm
2498,you got that perfectly.,general_affirm
2499,yeah you get command exactly.,general_affirm
2500,yeah you've gotten my instructions right.,general_affirm
2501,wonderful response to command.,general_affirm
2502,yeap you've got my instructions correcly.,general_affirm
2503,yeah you've understood my instructions perfectly.,general_affirm
2504,yes wonderful response.,general_affirm
2505,yes you got answer correcly.,general_affirm
2506,yeah amazing response.,general_affirm
2507,yeap you've understood it correcly.,general_affirm
2508,you have done it perfectly.,general_affirm
2509,it's right.,general_affirm
2510,yeap right response.,general_affirm
2511,yeap you've gotten that correcly.,general_affirm
2512,yes you have done it exactly.,general_affirm
2513,you have got my instructions right.,general_affirm
2514,yeap perfect.,general_affirm
2515,you understood the answer right.,general_affirm
2516,yes wonderful response to command.,general_affirm
2517,yes it's confirmed.,general_affirm
2518,you understood command perfectly.,general_affirm
2519,confirmed.,general_affirm
2520,yeah you have got your understanding perfectly.,general_affirm
2521,yeap right.,general_affirm
2522,yeah you have got my instructions right.,general_affirm
2523,yeap correcly.,general_affirm
2524,yes right.,general_affirm
2525,you have gotten that exactly.,general_affirm
2526,yeap it was correct.,general_affirm
2527,yeap that's correct.,general_affirm
2528,yes it was perfect.,general_affirm
2529,olly please will you shut off.,general_commandstop
2530,olly please shut down.,general_commandstop
2531,olly would you please shut up.,general_commandstop
2532,olly please will you shut up.,general_commandstop
2533,will you stop please.,general_commandstop
2534,please would you cancel.,general_commandstop
2535,i will talk to you later on.,general_commandstop
2536,can you please shut up.,general_commandstop
2537,olly will you stop it.,general_commandstop
2538,olly please cancel.,general_commandstop
2539,i would talk to you later.,general_commandstop
2540,olly that would be all.,general_commandstop
2541,"olly that is enough, cancel.",general_commandstop
2542,i'd like you just stop.,general_commandstop
2543,please will you shut off.,general_commandstop
2544,olly shut down.,general_commandstop
2545,cancel.,general_commandstop
2546,please can you stop it.,general_commandstop
2547,"olly that's all, stop it.",general_commandstop
2548,i'd like you just cancel.,general_commandstop
2549,olly will you shut up please.,general_commandstop
2550,"that's enough, stop it.",general_commandstop
2551,olly could you stop.,general_commandstop
2552,please will you shut up.,general_commandstop
2553,i want you just stop it.,general_commandstop
2554,would you just stop it please.,general_commandstop
2555,will you just stop please.,general_commandstop
2556,olly can you just stop it please.,general_commandstop
2557,will you shut down please.,general_commandstop
2558,olly please shut off.,general_commandstop
2559,olly stop please.,general_commandstop
2560,olly just stop please.,general_commandstop
2561,please could you shut off.,general_commandstop
2562,please will you shut down.,general_commandstop
2563,would you shut up.,general_commandstop
2564,olly i like you cancel it.,general_commandstop
2565,"that's enough, just cancel.",general_commandstop
2566,please would you just cancel it.,general_commandstop
2567,olly please can you shut off.,general_commandstop
2568,i'd like you cancel it.,general_commandstop
2569,will you please shut up.,general_commandstop
2570,olly can you cancel please.,general_commandstop
2571,"olly that is all, just cancel.",general_commandstop
2572,i like you stop it.,general_commandstop
2573,olly i want you just stop it.,general_commandstop
2574,please shut down.,general_commandstop
2575,would you stop it.,general_commandstop
2576,olly will you shut down please.,general_commandstop
2577,i would like you stop.,general_commandstop
2578,olly i like you cancel.,general_commandstop
2579,please just cancel.,general_commandstop
2580,would you stop.,general_commandstop
2581,olly will you cancel it.,general_commandstop
2582,olly please would you shut off.,general_commandstop
2583,olly could you shut up please.,general_commandstop
2584,"that's enough, stop.",general_commandstop
2585,olly would you shut up please.,general_commandstop
2586,"that is enough, stop it.",general_commandstop
2587,olly i like you just cancel.,general_commandstop
2588,please would you cancel it.,general_commandstop
2589,just cancel.,general_commandstop
2590,please cancel.,general_commandstop
2591,"that's enough, just cancel it.",general_commandstop
2592,"olly that is enough, just cancel.",general_commandstop
2593,"that's all, just cancel it.",general_commandstop
2594,olly please would you shut down.,general_commandstop
2595,could you please shut down.,general_commandstop
2596,would you stop please.,general_commandstop
2597,i like you just cancel it.,general_commandstop
2598,olly talk to you later on.,general_commandstop
2599,that would be all.,general_commandstop
2600,olly could you shut down.,general_commandstop
2601,olly will you shut down.,general_commandstop
2602,can you shut off please.,general_commandstop
2603,"that's enough, just stop it.",general_commandstop
2604,"that's all, just stop.",general_commandstop
2605,olly will you please shut off.,general_commandstop
2606,"olly that is enough, cancel it.",general_commandstop
2607,i will talk to you later.,general_commandstop
2608,would you shut up please.,general_commandstop
2609,could you please shut up.,general_commandstop
2610,olly can you please shut up.,general_commandstop
2611,can you shut up please.,general_commandstop
2612,"that's all, stop.",general_commandstop
2613,talk to you later.,general_commandstop
2614,shut up.,general_commandstop
2615,olly will you stop please.,general_commandstop
2616,"olly that's enough, stop it.",general_commandstop
2617,can you just stop it please.,general_commandstop
2618,olly can you shut off.,general_commandstop
2619,can you please shut down.,general_commandstop
2620,"olly that's all, just stop.",general_commandstop
2621,olly could you just cancel please.,general_commandstop
2622,olly would you shut up.,general_commandstop
2623,olly please stop.,general_commandstop
2624,olly would you shut off please.,general_commandstop
2625,just stop please.,general_commandstop
2626,please will you just cancel.,general_commandstop
2627,just cancel please.,general_commandstop
2628,olly that will be all.,general_commandstop
2629,could you stop please.,general_commandstop
2630,olly please can you just stop it.,general_commandstop
2631,olly i would like you stop.,general_commandstop
2632,would you shut off please.,general_commandstop
2633,could you shut down.,general_commandstop
2634,i want you cancel.,general_commandstop
2635,"that is all, just cancel.",general_commandstop
2636,olly please would you just stop it.,general_commandstop
2637,olly will you please shut down.,general_commandstop
2638,"olly that's enough, cancel.",general_commandstop
2639,could you just cancel.,general_commandstop
2640,olly could you please shut off.,general_commandstop
2641,olly please could you just cancel.,general_commandstop
2642,olly can you shut up.,general_commandstop
2643,will you shut up.,general_commandstop
2644,please can you shut off.,general_commandstop
2645,olly i would like you just cancel it.,general_commandstop
2646,"olly that's enough, stop.",general_commandstop
2647,i would talk to you later on.,general_commandstop
2648,i like you just cancel.,general_commandstop
2649,olly will you shut off.,general_commandstop
2650,please can you cancel it.,general_commandstop
2651,"olly that is enough, stop it.",general_commandstop
2652,would you please shut up.,general_commandstop
2653,olly can you please shut down.,general_commandstop
2654,olly that is enough.,general_commandstop
2655,olly i'd like you just cancel it.,general_commandstop
2656,would you just cancel it please.,general_commandstop
2657,would you please shut down.,general_commandstop
2658,"that is all, stop it.",general_commandstop
2659,olly would you please shut off.,general_commandstop
2660,i would like you just cancel.,general_commandstop
2661,olly i will talk to you later.,general_commandstop
2662,please would you shut up.,general_commandstop
2663,olly shut up.,general_commandstop
2664,can you just cancel please.,general_commandstop
2665,olly please could you shut up.,general_commandstop
2666,please shut off.,general_commandstop
2667,could you just cancel it please.,general_commandstop
2668,olly can you please shut off.,general_commandstop
2669,olly please could you shut down.,general_commandstop
2670,olly please just stop.,general_commandstop
2671,olly would you shut off.,general_commandstop
2672,olly that's all.,general_commandstop
2673,olly i want you cancel it.,general_commandstop
2674,can you shut up.,general_commandstop
2675,olly can you shut up please.,general_commandstop
2676,"that is enough, just cancel it.",general_commandstop
2677,would you shut off.,general_commandstop
2678,olly just stop.,general_commandstop
2679,olly could you shut off.,general_commandstop
2680,olly i want you stop.,general_commandstop
2681,olly will you stop.,general_commandstop
2682,would you shut down please.,general_commandstop
2683,can you just cancel it.,general_commandstop
2684,olly i would like you just stop it.,general_commandstop
2685,"that is all, just cancel it.",general_commandstop
2686,"that is all, just stop.",general_commandstop
2687,olly could you please shut up.,general_commandstop
2688,i want you just cancel it.,general_commandstop
2689,olly please can you cancel.,general_commandstop
2690,olly that is all.,general_commandstop
2691,"olly that is all, just stop it.",general_commandstop
2692,olly please just cancel.,general_commandstop
2693,could you shut up.,general_commandstop
2694,i like you stop.,general_commandstop
2695,that is all.,general_commandstop
2696,olly please could you cancel.,general_commandstop
2697,olly will you just stop it please.,general_commandstop
2698,"olly that is enough, just cancel it.",general_commandstop
2699,that is enough.,general_commandstop
2700,will you please shut off.,general_commandstop
2701,i would like you cancel it.,general_commandstop
2702,"olly that is all, cancel.",general_commandstop
2703,shut down please.,general_commandstop
2704,confirm the question please.,general_confirm
2705,confirm last thing said please.,general_confirm
2706,please check last thing i said.,general_confirm
2707,i like you check and confirm last thing i said please.,general_confirm
2708,please confirm it.,general_confirm
2709,i like you confirm my last command please.,general_confirm
2710,will you check and confirm instruction.,general_confirm
2711,can you check last thing i said please.,general_confirm
2712,would you confirm last thing i said please.,general_confirm
2713,can you check and confirm detail please.,general_confirm
2714,did you get my last command correctly?,general_confirm
2715,would you check and confirm the question please.,general_confirm
2716,please check detail.,general_confirm
2717,can you please confirm what said.,general_confirm
2718,did you get it correctly?,general_confirm
2719,please confirm my last instruction.,general_confirm
2720,would you please confirm that.,general_confirm
2721,can you check and confirm my last command please.,general_confirm
2722,would you please check and confirm what i last said.,general_confirm
2723,would you please check my last command.,general_confirm
2724,could you confirm my last instruction please.,general_confirm
2725,could you confirm what i just said please.,general_confirm
2726,please will you confirm command.,general_confirm
2727,will you check and confirm my last command.,general_confirm
2728,can you check my last question.,general_confirm
2729,check the command.,general_confirm
2730,can you please check what i last said.,general_confirm
2731,please would you check and confirm it.,general_confirm
2732,could you please check and confirm my last command.,general_confirm
2733,check that.,general_confirm
2734,please will you check last thing said.,general_confirm
2735,check and confirm what i said please.,general_confirm
2736,please check and confirm command.,general_confirm
2737,please check and confirm detail.,general_confirm
2738,please check my last question.,general_confirm
2739,i'd like you check details please.,general_confirm
2740,please can you check that.,general_confirm
2741,could you please check that.,general_confirm
2742,did you get last thing said correctly?,general_confirm
2743,would you please check that.,general_confirm
2744,i'd like you to check and confirm last thing said please.,general_confirm
2745,could you check what just said.,general_confirm
2746,check and confirm the last thing said please.,general_confirm
2747,please check and confirm the last thing said.,general_confirm
2748,please check and confirm the command.,general_confirm
2749,i want you confirm that please.,general_confirm
2750,i like you to confirm the details please.,general_confirm
2751,did you get the last thing i said correctly?,general_confirm
2752,could you confirm detail please.,general_confirm
2753,confirm that please.,general_confirm
2754,check and confirm the details please.,general_confirm
2755,would you please check instruction.,general_confirm
2756,did you get that correctly?,general_confirm
2757,did you get what i just said correctly?,general_confirm
2758,did you get the last thing said correctly?,general_confirm
2759,can you check and confirm details.,general_confirm
2760,could you check and confirm detail please.,general_confirm
2761,please confirm my last question.,general_confirm
2762,please can you check and confirm last thing i said.,general_confirm
2763,i would like you check detail please.,general_confirm
2764,please will you check and confirm it.,general_confirm
2765,confirm the last thing said please.,general_confirm
2766,would you check what i said.,general_confirm
2767,check last thing i said please.,general_confirm
2768,i want you to check what just said please.,general_confirm
2769,could you please check what said.,general_confirm
2770,i want you check the last thing i said please.,general_confirm
2771,i would like you to check and confirm my last command please.,general_confirm
2772,will you please check and confirm detail.,general_confirm
2773,would you please confirm the last thing i said.,general_confirm
2774,can you please check my last question.,general_confirm
2775,i would like you to check what last said please.,general_confirm
2776,please can you confirm last thing said.,general_confirm
2777,could you confirm the question please.,general_confirm
2778,would you check and confirm the details please.,general_confirm
2779,please can you check the last thing i said.,general_confirm
2780,i would like you check details please.,general_confirm
2781,can you please check and confirm the detail.,general_confirm
2782,i'd like you check what i last said please.,general_confirm
2783,would you please check the detail.,general_confirm
2784,could you please confirm the details.,general_confirm
2785,i'd like you confirm it please.,general_confirm
2786,i like you to confirm question please.,general_confirm
2787,can you please check and confirm what just said.,general_confirm
2788,will you please check and confirm the last thing i said.,general_confirm
2789,check and confirm that please.,general_confirm
2790,i would like you to check the question please.,general_confirm
2791,i want you to confirm what i last said please.,general_confirm
2792,i like you check what i last said please.,general_confirm
2793,would you confirm the detail.,general_confirm
2794,please will you check and confirm what i just said.,general_confirm
2795,can you please confirm last thing i said.,general_confirm
2796,i would like you confirm last thing i said please.,general_confirm
2797,check and confirm the detail please.,general_confirm
2798,i like you check it please.,general_confirm
2799,did you get my last instruction correctly?,general_confirm
2800,please can you check and confirm what just said.,general_confirm
2801,would you check the details please.,general_confirm
2802,please can you confirm the command.,general_confirm
2803,please will you check and confirm my last instruction.,general_confirm
2804,could you please check and confirm the detail.,general_confirm
2805,would you check and confirm question please.,general_confirm
2806,please confirm details.,general_confirm
2807,will you please check and confirm it.,general_confirm
2808,please would you check instruction.,general_confirm
2809,would you please check question.,general_confirm
2810,could you please check the detail.,general_confirm
2811,could you please check and confirm details.,general_confirm
2812,check the last thing said please.,general_confirm
2813,i would like you check and confirm it please.,general_confirm
2814,please would you confirm detail.,general_confirm
2815,i like you to confirm detail please.,general_confirm
2816,can you confirm instruction.,general_confirm
2817,please confirm last thing said.,general_confirm
2818,would you please check and confirm detail.,general_confirm
2819,did you get the instruction correctly?,general_confirm
2820,would you please check it.,general_confirm
2821,confirm detail please.,general_confirm
2822,check last thing i said.,general_confirm
2823,check what just said please.,general_confirm
2824,check question.,general_confirm
2825,i like you confirm last thing said please.,general_confirm
2826,i like you confirm details please.,general_confirm
2827,check and confirm last thing said please.,general_confirm
2828,would you check and confirm last thing said please.,general_confirm
2829,would you check my last question please.,general_confirm
2830,will you confirm that please.,general_confirm
2831,could you please confirm what i just said.,general_confirm
2832,i'd like you to confirm that please.,general_confirm
2833,will you check what i said please.,general_confirm
2834,could you check that please.,general_confirm
2835,please will you check details.,general_confirm
2836,please will you confirm the last thing said.,general_confirm
2837,would you please check and confirm it.,general_confirm
2838,could you check instruction.,general_confirm
2839,i like you to check it please.,general_confirm
2840,could you check it.,general_confirm
2841,did you get the detail correctly?,general_confirm
2842,please check last thing said.,general_confirm
2843,can you confirm what just said please.,general_confirm
2844,i'd like you check my last question please.,general_confirm
2845,would you please check what i last said.,general_confirm
2846,could you please check and confirm last thing i said.,general_confirm
2847,can you check and confirm what said please.,general_confirm
2848,i'd like you check and confirm that please.,general_confirm
2849,can you please check the last thing i said.,general_confirm
2850,would you check and confirm detail please.,general_confirm
2851,check and confirm the instruction please.,general_confirm
2852,would you check my last command.,general_confirm
2853,did you get last thing i said correctly?,general_confirm
2854,i want you to check what i just said please.,general_confirm
2855,would you confirm the last thing i said please.,general_confirm
2856,confirm my last command please.,general_confirm
2857,check and confirm my last command please.,general_confirm
2858,i'd like you confirm the question please.,general_confirm
2859,can you confirm the details please.,general_confirm
2860,please could you confirm instruction.,general_confirm
2861,would you please confirm details.,general_confirm
2862,will you check and confirm that please.,general_confirm
2863,i would like you to check and confirm detail please.,general_confirm
2864,please can you confirm details.,general_confirm
2865,check last thing said please.,general_confirm
2866,please check what said.,general_confirm
2867,could you please confirm the instruction.,general_confirm
2868,check and confirm the instruction.,general_confirm
2869,check detail please.,general_confirm
2870,could you please check and confirm that.,general_confirm
2871,check what said.,general_confirm
2872,can you confirm what said please.,general_confirm
2873,please will you check my last instruction.,general_confirm
2874,can you please check command.,general_confirm
2875,please could you check question.,general_confirm
2876,i want you to check and confirm what last said please.,general_confirm
2877,please can you check and confirm the details.,general_confirm
2878,can you please confirm detail.,general_confirm
2879,"i do not really know, olly.",general_dontcare
2880,would not care.,general_dontcare
2881,anything will be okay with me.,general_dontcare
2882,does not matter to me.,general_dontcare
2883,"it is unimportant for me, olly.",general_dontcare
2884,"that does not matter for me, olly.",general_dontcare
2885,"it does not matter with me, olly.",general_dontcare
2886,i wouldn't know.,general_dontcare
2887,"anything will be good with me, olly.",general_dontcare
2888,"i would not really know, olly.",general_dontcare
2889,i wouldn't really mind.,general_dontcare
2890,"it is of no importance to me, olly.",general_dontcare
2891,i would not mind for any one.,general_dontcare
2892,"wouldn't know, olly.",general_dontcare
2893,have no idea regarding to what to do.,general_dontcare
2894,"it doesn't really matter, olly.",general_dontcare
2895,do not really care.,general_dontcare
2896,wouldn't know.,general_dontcare
2897,"anything is fine to me, olly.",general_dontcare
2898,doesn't really matter for me.,general_dontcare
2899,i don't really mind.,general_dontcare
2900,i don't mind for whatever.,general_dontcare
2901,"any one will be okay with me, olly.",general_dontcare
2902,whatever will be okay for me.,general_dontcare
2903,"doesn't matter, olly.",general_dontcare
2904,"this is unimportant to me, olly.",general_dontcare
2905,"i wouldn't really mind, olly.",general_dontcare
2906,"that doesn't matter for me, olly.",general_dontcare
2907,anything is ok to me.,general_dontcare
2908,i wouldn't really care.,general_dontcare
2909,anything would be ok with me.,general_dontcare
2910,don't care.,general_dontcare
2911,have no idea for what to choose.,general_dontcare
2912,i do not really mind for anything.,general_dontcare
2913,really would not mind.,general_dontcare
