,sentence,intents,clean_sentence
1540,check emails from gary for last hour,email_query,check email mari last hour
1541,pull up all emails sent to me from amazon,email_query,pull email sent amazon
1542,where does john smith live and what is his phone number,email_querycontact,john smith live phone number
1543,when was the last time that i spoke to john,email_querycontact,last time spoke john
1544,make a call to,email_querycontact,make call
1545,what's the email address of silvia,email_querycontact,what '' s email address silver
1546,please find a mail address of manoj and tell me,email_querycontact,plea find mail address manor tell
1547,check in contacts,email_querycontact,check contact
1548,does mary smith live on main street,email_querycontact,mari smith live main street
1549,hey ms the email address of john miller,email_querycontact,hey m email address john miller
1550,what is email id of john,email_querycontact,email id john
1551,how many numbers are saved for alex,email_querycontact,mani number save flex
1552,what's john's home phone number,email_querycontact,what '' s john '' s home phone number
1553,what do you know about mary,email_querycontact,know mari
1554,who is the most frequently called person in my phone book,email_querycontact,frequent call person phone book
1555,what is joe joe's home address,email_querycontact,joe joe '' s home address
1556,please let me know when is sam's birthday,email_querycontact,plea let know sam '' s birthday
1557,call raju phone number,email_querycontact,call ran phone number
1558,open the contact alex in phonebook,email_querycontact,open contact flex phonebook
1559,what is my daughter's phone number,email_querycontact,daughter '' s phone number
1560,tell me the office address of my brother,email_querycontact,tell offic address brother
1561,what are john's contact details,email_querycontact,john '' s contact detail
1562,please contact michael m from my list with this text,email_querycontact,plea contact michael list text
1563,show contact of john,email_querycontact,show contact john
1564,when is jacob's birthday,email_querycontact,jacob '' s birthday
1565,call dad,email_querycontact,call dad
1566,what's leon's email,email_querycontact,what '' s leon '' s email
1567,can i find out information about a contact,email_querycontact,find inform contact
1568,do i have a work number for susan,email_querycontact,work number susan
1569,does bob live in france,email_querycontact,bob live franc
1570,contacts please,email_querycontact,contact plea
1571,tell me about joose,email_querycontact,tell loo
1572,what is this person's contact information,email_querycontact,person '' s contact inform
1573,could you get john's email address for me,email_querycontact,could get john '' s email address
1574,find john smith in contacts,email_querycontact,find john smith contact
1575,select the information on the contact,email_querycontact,select inform contact
1576,find all the contacts named john,email_querycontact,find contact name john
1577,what is john smith's number,email_querycontact,john smith '' s number
1578,tell me the email address for aunt ruth,email_querycontact,tell email address aunt ruth
1579,what is mr taxi's phone number it is in my contacts,email_querycontact,mr taxi '' s phone number contact
1580,open contacts and call john smith,email_querycontact,open contact call john smith
1581,can you provide me with the contact information assigned to this person,email_querycontact,provid contact inform assign person
1582,open derek's contact information,email_querycontact,open dere '' s contact inform
1583,how many phone numbers do i have for brenden,email_querycontact,mani phone number render
1584,is there a way to pull up information about a contact,email_querycontact,way pull inform contact
1585,find john smith from alabama,email_querycontact,find john smith alabama
1586,open contacts and find john smith,email_querycontact,open contact find john smith
1587,show me derek's contact information,email_querycontact,show dere '' s contact inform
1588,what's june's address nowadays,email_querycontact,what '' s june '' s address nowaday
1589,where seth lives,email_querycontact,set live
1590,find my wife,email_querycontact,find wife
1591,where does tar work currently,email_querycontact,tar work current
1592,give me the details of friend,email_querycontact,give detail friend
1593,is there email id of john in the list,email_querycontact,email id john list
1594,fetch me the phone number of Alexander,email_querycontact,fetch phone number alexand
1595,what is jimmy johns's corporate number,email_querycontact,jimmi john '' s corpor number
1596,open the contact named john,email_querycontact,open contact name john
1597,locate information on john smith about his work location,email_querycontact,locat inform john smith work locat
1598,please delete the contacts that i havent spoken to in three of months,email_querycontact,plea delet contact haven spoken three month
1599,open the profile of allen from my contact,email_querycontact,open profil allen contact
1600,tell me the area code for jen k,email_querycontact,tell area code men k
1601,will you look up joe's contact information for me,email_querycontact,look joe '' s contact inform
1602,read about mary s.,email_querycontact,read mari s ''
1603,is alex saved in my contacts list,email_querycontact,flex save contact list
1604,what is mary s.'s phone number,email_querycontact,mari s '' '' s phone number
1605,are my contacts mostly female or male,email_querycontact,contact mostli femal male
1606,search jack in contacts,email_querycontact,search jack contact
1607,is bills pager number in my contacts,email_querycontact,bill paper number contact
1608,tell me mary's cell number,email_querycontact,tell mari '' s cell number
1609,what is derek's phone number,email_querycontact,dere '' s phone number
1610,help me call james,email_querycontact,help call jame
1611,what is the home phone number of mark,email_querycontact,home phone number mark
1612,how many contacts do i have in my phone book,email_querycontact,mani contact phone book
1613,tell me joe joe's home address,email_querycontact,tell joe joe '' s home address
1614,check for this mail in my contact if not then add it,email_querycontact,check mail contact add
1615,do i have a home number for shelly,email_querycontact,home number shell
1616,please find a contact number of jayesh and tell me,email_querycontact,plea find contact number jame tell
1617,how do i reach sarah,email_querycontact,reach sarah
1618,what is john's phone number,email_querycontact,john '' s phone number
1619,do i have the address for the apple store in my contacts,email_querycontact,address appl store contact
1620,give me petey's telephone number,email_querycontact,give peter '' s telephon number
1621,who is the contact that last called me,email_querycontact,contact last call
1622,how many of my contacts live or work in detroit,email_querycontact,mani contact live work detroit
1623,what's his number,email_querycontact,what '' s number
1624,what's jesse's birthday,email_querycontact,what '' s hess '' s birthday
1625,find me my dad's email address,email_querycontact,find dad '' s email address
1626,what is a work phone number of emilia,email_querycontact,work phone number emili
1627,please give me details of allen from my contact,email_querycontact,plea give detail allen contact
1628,do i have a number for jerry,email_querycontact,number merri
1629,what is mary s.'s birthday,email_querycontact,mari s '' '' s birthday
1630,how do i dial sarah,email_querycontact,dial sarah
1631,show me my contacts,email_querycontact,show contact
1632,can you pull up jeff,email_querycontact,pull jeff
1633,tell me about mary s.,email_querycontact,tell mari s ''
1634,show ana number,email_querycontact,show ana number
1635,what is frieda's home address,email_querycontact,fri '' s home address
1636,what is mary smith's telephone number,email_querycontact,mari smith '' s telephon number
1637,is this the correct area code for my boss,email_querycontact,correct area code bos
1638,tell contact mobile number,email_querycontact,tell contact mobil number
1639,can you tell me the contact information of jo,email_querycontact,tell contact inform to
1640,jay's phone number,email_querycontact,jay '' s phone number
1641,is bills house number in my contacts,email_querycontact,bill hous number contact
1642,please open my contact list,email_querycontact,plea open contact list
1643,what is amber stevens address it is in my contacts,email_querycontact,amber steven address contact
1644,please check and tell me where is the location of toms new business,email_querycontact,plea check tell locat toe new busi
1645,tell me about mary s. in my contacts,email_querycontact,tell mari s '' contact
1646,is it anyone i knows birthday this month,email_querycontact,anyon know birthday month
1647,when is john's birthday,email_querycontact,john '' s birthday
1648,do i have any missed call from patrick,email_querycontact,miss call patrick
1649,how can i contact this person,email_querycontact,contact person
1650,how old is joanne,email_querycontact,old ann
1651,provide contact location,email_querycontact,provid contact locat
1652,can you please give me john's email,email_querycontact,plea give john '' s email
1653,can you tell me the phone number of me,email_querycontact,tell phone number
1654,what is john's last name,email_querycontact,john '' s last name
1655,please check and tell me contact details of mongomery llc company,email_querycontact,plea check tell contact detail montgomeri ll compani
1656,get me tom's number,email_querycontact,get tom '' s number
1657,show me the information of friend,email_querycontact,show inform friend
1658,contacts,email_querycontact,contact
1659,is mary smith in my contacts list,email_querycontact,mari smith contact list
1660,show johns office number,email_querycontact,show john offic number
1661,how many work contacts are in my phone book,email_querycontact,mani work contact phone book
1662,search the contact,email_querycontact,search contact
1663,is bills cell phone number in my contacts,email_querycontact,bill cell phone number contact
1664,call mom,email_querycontact,call mon
1665,find me someone,email_querycontact,find someon
1666,what's jesse's number,email_querycontact,what '' s hess '' s number
1667,do we have morgan's office's number,email_querycontact,morgan '' s offic '' s number
1668,give me the number to mom,email_querycontact,give number mon
1669,when was the last call i received from jordan,email_querycontact,last call receiv jordan
1670,tell me the street address of my facebook friend george,email_querycontact,tell street address facebook friend georg
1671,show dan's contact detail,email_querycontact,show dan '' s contact detail
1672,does my co worker have a home phone number,email_querycontact,co worker home phone number
1673,check and tell me the address of my friend alex,email_querycontact,check tell address friend flex
1674,do i have the contact of tara john,email_querycontact,contact tar john
1675,find jhonny's address,email_querycontact,find johnni '' s address
1676,give me contact mail id,email_querycontact,give contact mail id
1677,what is job title of jan medvesek,email_querycontact,job titl jan medvedev
1678,show john's contact information,email_querycontact,show john '' s contact inform
1679,what is john smith's home phone number,email_querycontact,john smith '' s home phone number
1680,may you please pull up information about a contact,email_querycontact,may plea pull inform contact
1681,mary's contact number,email_querycontact,mari '' s contact number
1682,tell me the landline number,email_querycontact,tell lanolin number
1683,did i receive a message from kevin,email_querycontact,receiv messag even
1684,please let me know the what raj's status update in facebook,email_querycontact,plea let know ran '' s statu updat facebook
1685,what's rene phone number,email_querycontact,what '' s rent phone number
1686,do you have the mailing address for the electric company,email_querycontact,fail address electr compani
1687,what is tom's phone number,email_querycontact,tom '' s phone number
1688,olly i need to call my mom will you check her work number for me,email_querycontact,onli need call mon check work number
1689,what's the address for alex,email_querycontact,what '' s address flex
1690,what information do you have on file in my information about bill,email_querycontact,inform file inform bill
1691,link me to jeff's email,email_querycontact,link jeff '' s email
1692,what is john doe's address,email_querycontact,john doe '' s address
1693,send a text to alice,email_querycontact,send text alic
1694,tell me john's phone number,email_querycontact,tell john '' s phone number
1695,list phone and email id of robert,email_querycontact,list phone email id robert
1696,where does joe joe live,email_querycontact,joe joe live
1697,which contact haven't i called in twelve months,email_querycontact,contact call twelv month
1698,what is the email address for tessa,email_querycontact,email address le
1699,what is bob stevens phone number it is in my contacts,email_querycontact,bob steven phone number contact
1700,how do i contact charles,email_querycontact,contact charl
1701,check mom's number,email_querycontact,check mon '' s number
1702,can you give me the newest phone number for bobby mcgee,email_querycontact,give newest phone number bobbi gee
1703,give me charles telephone number,email_querycontact,give charl telephon number
1704,rahul contact,email_querycontact,paul contact
1705,what is charles's email,email_querycontact,charl '' s email
1706,did sara tried to call me,email_querycontact,serum tri call
1707,what is the home phone number for sarah,email_querycontact,home phone number sarah
1708,where does fred work,email_querycontact,fred work
1709,display address of john,email_querycontact,display address john
1710,julie's information,email_querycontact,juli '' s inform
1711,look up in contacts,email_querycontact,look contact
1712,is it joes birthday soon,email_querycontact,doe birthday soon
1713,is there a contact named allen in my list,email_querycontact,contact name allen list
1714,call vikki,email_querycontact,call viii
1715,what is mom's email address,email_querycontact,mon '' s email address
1716,do i have any other contact phone number for alison,email_querycontact,contact phone number allison
1717,email my friend about our plans tonight,email_sendemail,email friend plan tonight
1718,send email to cat that i will accept job offer,email_sendemail,send email cat accept job offer
1719,email james about the softball game james we need to get some refreshments before heading over,email_sendemail,email jame footbal game jame need get refresh head
1720,send email to daddy i'll be going to the birthday party,email_sendemail,send email daddi i '' ll go birthday parti
1721,can you open the reply inbox,email_sendemail,open repli into
1722,prepare email for susan,email_sendemail,prepar email susan
1723,inbox this mail,email_sendemail,into mail
1724,reply to heather's latest email by answering no,email_sendemail,repli heather '' s latest email answer
1725,send an email to my assistant clara to cancel all appointments for tomorrow,email_sendemail,send email assist clara cancel appoint tomorrow
1726,send an email for me,email_sendemail,send email
1727,send an email to my boss,email_sendemail,send email bos
1728,i need an email to be sent to comcastcom about my service issues,email_sendemail,need email sent comcastcom servic issu
1729,email friend,email_sendemail,email friend
1730,send an email to john,email_sendemail,send email john
1731,go to email compile,email_sendemail,go email compil
1732,reply wishes to john by email,email_sendemail,repli wish john email
1733,send the email to john,email_sendemail,send email john
1734,send the following email to bro hi come down for dinner tonight,email_sendemail,send follow email brow hi come dinner tonight
1735,please answer jean's email,email_sendemail,plea answer jean '' s email
1736,respond to all that i am on my way,email_sendemail,respond way
1737,send an email to dad about the weather for the week,email_sendemail,send email dad weather week
1738,send a test email to,email_sendemail,send test email
1739,draft an email to kailey about work later,email_sendemail,draft email bailey work later
1740,answer paul's email,email_sendemail,answer paul '' s email
1741,please reply to my colleagues mail about his query,email_sendemail,plea repli colleagu mail queri
1742,hello you have a send an email to someone,email_sendemail,hello send email someon
1743,reply an email to jason that i will not come tonight,email_sendemail,repli email jason come tonight
1744,hey send an email to my friend,email_sendemail,hey send email friend
1745,send email to newmail@gmail dot com,email_sendemail,send email email '' email dot com
1746,can you reply to the email,email_sendemail,repli email
1747,you should reply to the mail,email_sendemail,repli mail
1748,hi buddy send mail to my friend hellen regarding home builders are not accepted the offer,email_sendemail,hi muddi send mail friend helen regard home builder accept offer
1749,send an email to fred from work he is in my contacts,email_sendemail,send email fred work contact
1750,hey reply a mail which i received,email_sendemail,hey repli mail receiv
1751,please email celine,email_sendemail,plea email line
1752,write an email about next week weather to my wife,email_sendemail,write email next week weather wife
1753,you can send the email to abc@gmail dot com this is my new email address,email_sendemail,send email abc '' email dot com new email address
1754,create an email that needs to go out to my family,email_sendemail,creat email need go famili
1755,send email to joanne@aol dot com and add as new contact,email_sendemail,send email ann '' all dot com add new contact
1756,send reply thank you so much mom to mom,email_sendemail,send repli thank much mon mon
1757,send an email to mom subject weather body what is the weather like there this week,email_sendemail,send email mon subject weather bodi weather like week
1758,reply to john's email today saying i will be late,email_sendemail,repli john '' s email today say late
1759,i want to email my supervisor,email_sendemail,want email supervisor
1760,write email to family member and read it back,email_sendemail,write email famili member read back
1761,send an email to frank and ask them what the weather going to be like this week,email_sendemail,send email frank ask weather go like week
1762,please open a reply to the email,email_sendemail,plea open repli email
1763,compose an email to parisa,email_sendemail,compos email pari
1764,open terry's email,email_sendemail,open merri '' s email
1765,email my meeting details to my manager,email_sendemail,email meet detail manag
1766,send a mail to alex asking about the due payment,email_sendemail,send mail flex ask due payment
1767,send mom an email now,email_sendemail,send mon email
1768,email tom,email_sendemail,email tom
1769,send email to mom asking about the weather,email_sendemail,send email mon ask weather
1770,open a new email to contact,email_sendemail,open new email contact
1771,reply to the latest email,email_sendemail,repli latest email
1772,can you send an email to my mother about the weekly weather,email_sendemail,send email mother weekli weather
1773,compose this email to this new email address,email_sendemail,compos email new email address
1774,send a confirmation email to sandy,email_sendemail,send confirm email sandi
1775,reply to the mail with the following content hello you,email_sendemail,repli mail follow content hello
1776,send will do thanks to john as a reply to his last message,email_sendemail,send thank john repli last messag
1777,send email to mom and tell her see her at disney world,email_sendemail,send email mon tell see dinner world
1778,text sarah if she is free for brunch today,email_sendemail,text sarah free branch today
1779,respond back to the mail,email_sendemail,respond back mail
1780,forward email,email_sendemail,forward email
1781,start and email to john smith,email_sendemail,start email john smith
1782,i need to send an email to michael,email_sendemail,need send email michael
1783,send answer to george,email_sendemail,send answer georg
1784,email mahmoud,email_sendemail,email mahmoud
1785,"send email to robert, what time is dinner",email_sendemail,send email robert '' time dinner
1786,send this email to reply to the latest emails,email_sendemail,send email repli latest email
1787,send an email to juanpedro@gmail dot com,email_sendemail,send email juanpedro '' email dot com
1788,mahaboobsayyad@gmail dot com,email_sendemail,mahaboobsayyad '' email dot com
1789,can you send an email for me to a new email address,email_sendemail,send email new email address
1790,send mail to bubbles i want to meet her tomorrow at two pm in office,email_sendemail,send mail bubbl want meet tomorrow two pm offic
1791,send an email to with the subject as test and no content,email_sendemail,send email subject test content
1792,please start an email for my sister,email_sendemail,plea start email sister
1793,send email how are you dad to dad,email_sendemail,send email dad dad
1794,please send email to pawel with reminder,email_sendemail,plea send email panel remind
1795,send an email to jesse,email_sendemail,send email hess
1796,reply back to this email,email_sendemail,repli back email
1797,send email to marissa,email_sendemail,send email drissa
1798,email alice to let her know we are on the way,email_sendemail,email alic let know way
1799,reply email to charlotte,email_sendemail,repli email charlott
1800,open a reply message,email_sendemail,open repli messag
1801,reply to the email received from mark,email_sendemail,repli email receiv mark
1802,send response i will be there,email_sendemail,send respons
1803,send a reply to robert for his email received today morning,email_sendemail,send repli robert email receiv today morn
1804,send email to bill asking to reschedule,email_sendemail,send email bill ask schedul
1805,send message via email,email_sendemail,send messag via email
1806,send email to david davis email address,email_sendemail,send email david davi email address
1807,please send a voice mail to mr richard office about meting him on first of february twenty seventeen at five pm,email_sendemail,plea send voic mail mr richard offic meet first februari twenti seventeen five pm
1808,inbox my family,email_sendemail,into famili
1809,prepare to send an outgoing reply message,email_sendemail,prepar send outdo repli messag
1810,send mail to mom i am planning vacations with her next week,email_sendemail,send mail mon plan vacat next week
1811,send an email to my wife about next week weather,email_sendemail,send email wife next week weather
1812,email co worker about work project,email_sendemail,email co worker work project
1813,now i need to write an email to my colleague,email_sendemail,need write email colleagu
1814,reply to erins email by saying i will be on time,email_sendemail,repli rein email say time
1815,my friend john has sent me a invitation card to his newly bought home say thanks to him in his mail id,email_sendemail,friend john sent invit card newli bought home say thank mail id
1816,send email to nancy about tomorrow's work party details,email_sendemail,send email nanci tomorrow '' s work parti detail
1817,write an email recipient ray,email_sendemail,write email recipi ray
1818,send an email to my family wishing them a happy holiday,email_sendemail,send email famili wish happi holiday
1819,forward the mail to new email address,email_sendemail,forward mail new email address
1820,hey i want to send an email to my friend,email_sendemail,hey want send email friend
1821,send an email to my brother and say wedding anniversary,email_sendemail,send email brother say wed anniversari
1822,tell sean i appreciate him reaching out to me,email_sendemail,tell seen appreci reach
1823,write this message to the coworker group,email_sendemail,write messag worker group
1824,respond to graham and let him know that i will be free tomorrow,email_sendemail,respond graham let know free tomorrow
1825,send an email to my boss and attach the presentation file with it apologize for being late,email_sendemail,send email bos attach present file apolog late
1826,lindafancy55@gmail dot com,email_sendemail,lindaf '' email dot com
1827,start email for address not in contacts,email_sendemail,start email address contact
1828,send an email to emma,email_sendemail,send email emma
1829,answer the email,email_sendemail,answer email
1830,compose a mail for jack,email_sendemail,compos mail jack
1831,i want the email to be sent to my new email address abc@gmail dot com,email_sendemail,want email sent new email address abc '' email dot com
1832,email my favourite contacts,email_sendemail,email favourit contact
1833,i did not want you to send that text yet wait until i say send,email_sendemail,want send text yet wait say send
1834,send an email to my boss about my leave,email_sendemail,send email bos leav
1835,i need to edit marie jones email address to read,email_sendemail,need edit mari jone email address read
1836,send an email to peter and ask him how is he now can i do something to help him,email_sendemail,send email peter ask someth help
1837,please send an email to john saying i'm on leave,email_sendemail,plea send email john say i '' m leav
1838,send an email with the address you gave me to jean saying meet us here at eight pm,email_sendemail,send email address gave jean say meet u eight pm
1839,compose a new email to ray,email_sendemail,compos new email ray
1840,mail macs@xorg,email_sendemail,mail mass '' org
1841,send a birthday email to my boss,email_sendemail,send birthday email bos
1842,start email,email_sendemail,start email
1843,email my boss that i will be late today because of an emergency and apologize to him for missing the meeting,email_sendemail,email bos late today emerg apolog miss meet
1844,send an email to rohit saying i am busy tomorrow,email_sendemail,send email ohio say busi tomorrow
1845,reply email,email_sendemail,repli email
1846,send an email to qerwerq@hotmail dot com,email_sendemail,send email qerwerq '' hotmail dot com
1847,please sent this email to my friend,email_sendemail,plea sent email friend
1848,send email to bro and say hi come down for dinner tonight,email_sendemail,send email brow say hi come dinner tonight
1849,send mom the following email,email_sendemail,send mon follow email
1850,hey email jan about our meeting,email_sendemail,hey email jan meet
1851,will you send the email to greg,email_sendemail,send email grew
1852,create an email to my brother asking him what time he will be over for dinner,email_sendemail,creat email brother ask time dinner
1853,reach by mail to my family,email_sendemail,reach mail famili
1854,send an email to grandma saying we are dropping by on saturday see you then,email_sendemail,send email grand say drop saturday see
1855,pleas reply to the mail of allen,email_sendemail,plea repli mail allen
1856,send an email to bob,email_sendemail,send email bob
1857,send email new address,email_sendemail,send email new address
1858,hey send email to john,email_sendemail,hey send email john
1859,please send a reminder email to peter and ask him how long he will be taking to prepare the presentation ppt,email_sendemail,plea send remind email peter ask long take prepar present put
1860,compose a new email but i got a new address this time brandon at example dot com,email_sendemail,compos new email got new address time brandon exampl dot com
1861,pull up outlook i need to send a email,email_sendemail,pull outlook need send email
1862,respond to mom's mail message about the recipe site,email_sendemail,respond mon '' s mail messag recip site
1863,schedule text messages for later,email_sendemail,schedul text messag later
1864,send an email to bill that i'm sorry i didn't realize he was so sick,email_sendemail,send email bill i '' m sorri realiz sick
1865,send a request to martin,email_sendemail,send request martin
1866,send a reply to mike with the answer four hundred and thirty from his email he sent this morning,email_sendemail,send repli mike answer four hundr thirti email sent morn
1867,write an email to luke asking how the weather will be this coming week,email_sendemail,write email luke ask weather come week
1868,send an email to john that i am on my way to home,email_sendemail,send email john way home
1869,send email to gary,email_sendemail,send email mari
1870,send happy new year to john@gmail dot com,email_sendemail,send happi new year john '' email dot com
1871,email my mom,email_sendemail,email mon
1872,compose email,email_sendemail,compos email
1873,send email to family and tell them to bring the bug spray before coming to the park,email_sendemail,send email famili tell bring bug spray come park
1874,respond to my bosses email with the word that i will be in at four in the evening,email_sendemail,respond bos email word four even
1875,email mom and ask how the weather is there,email_sendemail,email mon ask weather
1876,answer email,email_sendemail,answer email
1877,send this message to the family group starts with a,email_sendemail,send messag famili group start
1878,please send mom an email saying that i can make it next week,email_sendemail,plea send mon email say make next week
1879,send an email to adele,email_sendemail,send email adel
1880,i need to add a new email to my contacts,email_sendemail,need add new email contact
1881,send an email to my mum that i will visit her next weekend,email_sendemail,send email sum visit next weekend
1882,email dad how is the weather this week,email_sendemail,email dad weather week
1883,email my sister about mom's birthday jane we should think about arranging the party at the park,email_sendemail,email sister mon '' s birthday jane think arrang parti park
1884,tell chris i will be late through email,email_sendemail,tell chri late email
1885,send an email to george brown,email_sendemail,send email georg brown
1886,please send the email to abc@gmail dot com instead of xyz@gmail dot com,email_sendemail,plea send email abc '' email dot com instead by '' email dot com
1887,please send an email to mom,email_sendemail,plea send email mon
1888,email my mother,email_sendemail,email mother
1889,i'd like to send a reply,email_sendemail,i '' d like send repli
1890,email chris add following content sorry I will be late today,email_sendemail,email chri add follow content sorri I late today
1891,send email to mommy that i'll be going the party,email_sendemail,send email mummi i '' ll go parti
1892,great response to command.,general_affirm,great respons command ''
1893,yeap amazing response to the command.,general_affirm,year amaz respons command ''
1894,yes you've done your understanding correcly.,general_affirm,ye done understand correctli ''
1895,yeap you have done answer exactly.,general_affirm,year done answer exactli ''
1896,you have understood my instructions perfectly.,general_affirm,understood instruct perfectli ''
1897,yeap excellent response to the command.,general_affirm,year excel respons command ''
1898,yes you have gotten it exactly.,general_affirm,ye gotten exactli ''
1899,you have done that perfectly.,general_affirm,done perfectli ''
1900,you've got the command exactly.,general_affirm,got command exactli ''
1901,you have got that exactly.,general_affirm,got exactli ''
1902,yes you got command exactly.,general_affirm,ye got command exactli ''
1903,it was wonderful.,general_affirm,wonder ''
1904,fantastic response to command.,general_affirm,fantast respons command ''
1905,you have done it correcly.,general_affirm,done correctli ''
1906,correct response to the command.,general_affirm,correct respons command ''
1907,yes good response to command.,general_affirm,ye good respons command ''
1908,yeah right.,general_affirm,yeah right ''
1909,yes fantastic.,general_affirm,ye fantast ''
1910,your understanding was exact.,general_affirm,understand exact ''
1911,yeap.,general_affirm,year ''
1912,yeap that's right.,general_affirm,year that '' s right ''
1913,yes that is confirmed.,general_affirm,ye confirm ''
1914,yeap you've got your understanding right.,general_affirm,year got understand right ''
1915,yeah you have gotten my instructions perfectly.,general_affirm,yeah gotten instruct perfectli ''
1916,yeah fantastic response to the command.,general_affirm,yeah fantast respons command ''
1917,that is good.,general_affirm,good ''
1918,you have understood my instructions exactly.,general_affirm,understood instruct exactli ''
1919,yeah it's good.,general_affirm,yeah good ''
1920,strongly agreed.,general_affirm,strongli agre ''
1921,yes fantastic response.,general_affirm,ye fantast respons ''
1922,yes the command was confirmed.,general_affirm,ye command confirm ''
1923,yes affirmative.,general_affirm,ye affirm ''
1924,got it correcly.,general_affirm,got correctli ''
1925,yeap get that right.,general_affirm,year get right ''
1926,good response to the command.,general_affirm,good respons command ''
1927,yeah you get it perfectly.,general_affirm,yeah get perfectli ''
1928,amazing response to the command.,general_affirm,amaz respons command ''
1929,yeap amazing response to command.,general_affirm,year amaz respons command ''
1930,right response to command.,general_affirm,right respons command ''
1931,yeap correct response.,general_affirm,year correct respons ''
1932,yeah you got your understanding perfectly.,general_affirm,yeah got understand perfectli ''
1933,got it exactly.,general_affirm,got exactli ''
1934,yeap great response.,general_affirm,year great respons ''
1935,yeap the command was exact.,general_affirm,year command exact ''
1936,you've got your understanding correcly.,general_affirm,got understand correctli ''
1937,exact response to the command.,general_affirm,exact respons command ''
1938,yeah that is perfect.,general_affirm,yeah perfect ''
1939,yeap you get your understanding exactly.,general_affirm,year get understand exactli ''
1940,excellent.,general_affirm,excel ''
1941,you've understood my instructions exactly.,general_affirm,understood instruct exactli ''
1942,yeap you have gotten the command perfectly.,general_affirm,year gotten command perfectli ''
1943,yeah wonderful.,general_affirm,yeah wonder ''
1944,yes exact.,general_affirm,ye exact ''
1945,yes amazing response.,general_affirm,ye amaz respons ''
1946,yeah that's great.,general_affirm,yeah that '' s great ''
1947,yeap perfect response to the command.,general_affirm,year perfect respons command ''
1948,yes strongly agree.,general_affirm,ye strongli agre ''
1949,yes your understanding was perfect.,general_affirm,ye understand perfect ''
1950,yes you've done command exactly.,general_affirm,ye done command exactli ''
1951,you've done the command correcly.,general_affirm,done command correctli ''
1952,yes answer was confirmed.,general_affirm,ye answer confirm ''
1953,the answer is confirmed.,general_affirm,answer confirm ''
1954,yes agree.,general_affirm,ye agre ''
1955,answer is confirmed.,general_affirm,answer confirm ''
1956,yes that's correct.,general_affirm,ye that '' s correct ''
1957,the command was confirmed.,general_affirm,command confirm ''
1958,yes the command is confirmed.,general_affirm,ye command confirm ''
1959,you've done the command right.,general_affirm,done command right ''
1960,get command exactly.,general_affirm,get command exactli ''
1961,you have got the answer exactly.,general_affirm,got answer exactli ''
1962,yes answer was amazing.,general_affirm,ye answer amaz ''
1963,yeap you've gotten the command correcly.,general_affirm,year gotten command correctli ''
1964,that is excellent.,general_affirm,excel ''
1965,got the answer exactly.,general_affirm,got answer exactli ''
1966,yeah get that correcly.,general_affirm,yeah get correctli ''
1967,yes correct response.,general_affirm,ye correct respons ''
1968,correcly.,general_affirm,correctli ''
1969,yeap you get that perfectly.,general_affirm,year get perfectli ''
1970,yeah correct response to the command.,general_affirm,yeah correct respons command ''
1971,yes it's excellent.,general_affirm,ye excel ''
1972,your understanding is confirmed.,general_affirm,understand confirm ''
1973,it's exact.,general_affirm,exact ''
1974,yeah great response to command.,general_affirm,yeah great respons command ''
1975,yeap exact response to command.,general_affirm,year exact respons command ''
1976,yeap fantastic.,general_affirm,year fantast ''
1977,it's amazing.,general_affirm,amaz ''
1978,yeah you did it exactly.,general_affirm,yeah exactli ''
1979,you've got the answer perfectly.,general_affirm,got answer perfectli ''
1980,you've gotten your understanding correcly.,general_affirm,gotten understand correctli ''
1981,yes that's fantastic.,general_affirm,ye that '' s fantast ''
1982,yes you get your understanding perfectly.,general_affirm,ye get understand perfectli ''
1983,fantastic response to the command.,general_affirm,fantast respons command ''
1984,it's perfect.,general_affirm,perfect ''
1985,yeap strongly agreed.,general_affirm,year strongli agre ''
1986,yes exact response.,general_affirm,ye exact respons ''
1987,yes that's amazing.,general_affirm,ye that '' s amaz ''
1988,yes great response to the command.,general_affirm,ye great respons command ''
1989,yeap you've understood the answer right.,general_affirm,year understood answer right ''
1990,you've done your understanding correcly.,general_affirm,done understand correctli ''
1991,yeap it's good.,general_affirm,year good ''
1992,exact.,general_affirm,exact ''
1993,yeap you have got my instructions exactly.,general_affirm,year got instruct exactli ''
1994,yes right response.,general_affirm,ye right respons ''
1995,you have done command exactly.,general_affirm,done command exactli ''
1996,command was confirmed.,general_affirm,command confirm ''
1997,yeap you have got my instructions perfectly.,general_affirm,year got instruct perfectli ''
1998,that's confirmed.,general_affirm,that '' s confirm ''
1999,you've understood command perfectly.,general_affirm,understood command perfectli ''
2000,you understood command exactly.,general_affirm,understood command exactli ''
2001,yeap correct response to the command.,general_affirm,year correct respons command ''
2002,yeah it's confirmed.,general_affirm,yeah confirm ''
2003,excellent response to the command.,general_affirm,excel respons command ''
2004,that is correct.,general_affirm,correct ''
2005,yeah great response.,general_affirm,yeah great respons ''
2006,good response to command.,general_affirm,good respons command ''
2007,yeah that's confirmed.,general_affirm,yeah that '' s confirm ''
2008,yeah exact response.,general_affirm,yeah exact respons ''
2009,you did it exactly.,general_affirm,exactli ''
2010,yes you have understood my instructions perfectly.,general_affirm,ye understood instruct perfectli ''
2011,yeah you did the command correcly.,general_affirm,yeah command correctli ''
2012,you have done your understanding correcly.,general_affirm,done understand correctli ''
